GeneID	Symbol	description
100689051	Eef2	eukaryotic translation elongation factor 2
100689052	Myl6	myosin light chain 6
100689053	Rps17	ribosomal protein S17
100689054	Dpagt1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
100689055	Lrrfip1	LRR binding FLII interacting protein 1
100689056	Ncl	nucleolin
100689057	Sdc1	syndecan 1
100689058	Rps2	ribosomal protein S2
100689059	Cxcl1	chemokine (C-X-C motif) ligand 1
100689060	Adsl	adenylosuccinate lyase
100689061	Casp3	caspase 3, apoptosis-related cysteine peptidase
100689062	Xbp1	X-box binding protein 1
100689063	Ccnd1	cyclin D1
100689064	Ldha	lactate dehydrogenase A
100689065	Gna11	G protein subunit alpha 11
100689066	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
100689067	Gnas	GNAS complex locus
100689068	Gnai2	G protein subunit alpha i2
100689069	Gnao1	G protein subunit alpha o1
100689070	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1
100689071	Gna13	G protein subunit alpha 13
100689072	Gnai3	G protein subunit alpha i3
100689075	Cirbp	cold inducible RNA binding protein
100689076	Mgat3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
100689077	Gja1	gap junction protein alpha 1
100689078	Rad51c	RAD51 paralog C
100689079	Insig2	insulin induced gene 2
100689080	Insig1	insulin induced gene 1
100689081	Slc9a3r1	SLC9A3 regulator 1
100689082	Xpr1	xenotropic and polytropic retrovirus receptor 1
100689083	Fut6b	alpha (1,3) fucosyltransferase 6B
100689084	Fut6a	alpha (1,3) fucosyltransferase 6A
100689085	Mbtps2	membrane bound transcription factor peptidase, site 2
100689086	Srsf1	serine and arginine rich splicing factor 1
100689088	Tubb	tubulin beta class I
100689089	Tubb4b	tubulin beta 4B class IVb
100689090	Neu3	neuraminidase 3
100689091	Tubb5	tubulin, beta 5 class I
100689092	Bst2	bone marrow stromal cell antigen 2
100689093	Pisd	phosphatidylserine decarboxylase
100689094	Slc31a1	solute carrier family 31 member 1
100689095	Dnase1l1	deoxyribonuclease 1 like 1
100689096	Calr	calreticulin
100689097	Creld2	cysteine rich with EGF like domains 2
100689098	Mogs	mannosyl-oligosaccharide glucosidase
100689099	Vim	vimentin
100689100	Cxcl3	chemokine (C-X-C motif) ligand 3
100689101	Ctps1	CTP synthase 1
100689102	Fth1	ferritin heavy chain 1
100689103	Ssb	Sjogren syndrome antigen B
100689104	Mapk14	mitogen-activated protein kinase 14
100689105	Sumo2	small ubiquitin-like modifier 2
100689106	Akr1a1	aldo-keto reductase family 1 member A1
100689173	Hs6st1	heparan sulfate 6-O-sulfotransferase 1
100689175	Cdkn1a	cyclin dependent kinase inhibitor 1A
100689176	Slc7a1	solute carrier family 7 member 1
100689177	Coro7	coronin 7
100689182	S1pr3	sphingosine-1-phosphate receptor 3
100689183	S1pr2	sphingosine-1-phosphate receptor 2
100689184	S1pr5	sphingosine-1-phosphate receptor 5
100689185	Tlr6	toll like receptor 6
100689186	Il6	interleukin 6
100689187	St3gal3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3
100689188	Slc38a2	solute carrier family 38 member 2
100689189	P2ry2	purinergic receptor P2Y2
100689190	Gnat1	G protein subunit alpha transducin 1
100689191	Lpl	lipoprotein lipase
100689192	Fdft1	farnesyl-diphosphate farnesyltransferase 1
100689193	Pde1b	phosphodiesterase 1B
100689195	Sars	seryl-tRNA synthetase
100689196	Xpa	XPA, DNA damage recognition and repair factor
100689197	Brca2	BRCA2, DNA repair associated
100689198	S1pr1	sphingosine-1-phosphate receptor 1
100689199	Acox1	acyl-CoA oxidase 1
100689200	Sco2	SCO cytochrome oxidase deficient homolog 2 (yeast)
100689201	Ddrgk1	DDRGK domain containing 1
100689202	Gls	glutaminase
100689203	Psmc3	proteasome 26S subunit, ATPase 3
100689204	Cdh2	cadherin 2
100689205	Srrt	serrate, RNA effector molecule
100689206	Trpc1	transient receptor potential cation channel subfamily C member 1
100689207	Fasn	fatty acid synthase
100689208	Abcc1	ATP binding cassette subfamily C member 1
100689209	Trpc3	transient receptor potential cation channel subfamily C member 3
100689210	Gnpda1	glucosamine-6-phosphate deaminase 1
100689217	St8sia4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
100689218	Trpc2	transient receptor potential cation channel, subfamily C, member 2
100689219	Klc1	kinesin light chain 1
100689220	Abcc2	ATP binding cassette subfamily C member 2
100689221	LOC100689221	PAPS reductase
100689222	App	amyloid beta precursor protein
100689224	Eif6	eukaryotic translation initiation factor 6
100689230	Dnajc10	DnaJ heat shock protein family (Hsp40) member C10
100689232	Cad	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
100689233	Csr1	uncharacterized LOC100689233
100689234	Prm2	protamine 2
100689237	Birc6	baculoviral IAP repeat containing 6
100689238	Aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
100689239	Dicer1	dicer 1, ribonuclease III
100689240	Glg1	golgi glycoprotein 1
100689241	Por	P450 (cytochrome) oxidoreductase
100689242	Atp7a	ATPase copper transporting alpha
100689243	Cdc6	cell division cycle 6
100689245	Pparg	peroxisome proliferator activated receptor gamma
100689246	Bsg	basigin (Ok blood group)
100689247	Cnbp	CCHC-type zinc finger nucleic acid binding protein
100689250	Aicda	activation induced cytidine deaminase
100689251	Pik3ca	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
100689252	Pik3cb	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
100689253	Rarres2	retinoic acid receptor responder 2
100689254	Noc3l	NOC3 like DNA replication regulator
100689255	Washc2	family with sequence similarity 21, member C
100689256	Znf330	zinc finger protein 330
100689258	Mir21	microRNA 21
100689259	Rn28s1	28S ribosomal RNA
100689260	Rn18s	18S ribosomal RNA
100689261	Rn5-8s	5.8S ribosomal RNA
100689267	Ubc	ubiquitin C
100689268	Ubb	ubiquitin B
100689269	LOC100689269	U14 snoRNA
100689270	LOC100689270	U14 snoRNA
100689271	Snord14e	small nucleolar RNA, C/D box 14E
100689272	Ercc2	ERCC excision repair 2, TFIIH core complex helicase subunit
100689273	Fancg	Fanconi anemia complementation group G
100689274	Cenpb	centromere protein B, 80kDa
100689275	Cyp7a1	cytochrome P450, family 7, subfamily a, polypeptide 1
100689276	Eef1a1	eukaryotic translation elongation factor 1 alpha 1
100689277	Ap3m1	adaptor related protein complex 3 mu 1 subunit
100689278	Fut	alpha(1,3)fucosyltransferase
100689279	Rho	rhodopsin
100689280	Dao	D-amino acid oxidase
100689281	Apex1	apurinic/apyrimidinic endodeoxyribonuclease 1
100689282	Nat2	N-acetyltransferase 2 (arylamine N-acetyltransferase)
100689285	Tk1	thymidine kinase 1, soluble
100689286	Gjb6	gap junction protein beta 6
100689287	Cbx5	chromobox 5
100689288	Ear10	eosinophil-associated, ribonuclease A family, member 10
100689289	Ear11	eosinophil-associated, ribonuclease A family, member 11
100689290	Ear15	eosinophil-associated ribonuclease 15
100689291	Ear7	eosinophil-associated, ribonuclease A family, member 7
100689292	Rps14	ribosomal protein S14
100689293	Rps13	ribosomal protein S13
100689294	Dpm2	dolichyl-phosphate mannosyltransferase subunit 2, regulatory
100689295	Dph3	DPH3 homolog (KTI11, S. cerevisiae)
100689301	Neu2	neuraminidase 2
100689302	Pex19	peroxisomal biogenesis factor 19
100689303	Pcyt1a	phosphate cytidylyltransferase 1, choline, alpha
100689304	Top2a	DNA topoisomerase II alpha
100689305	Hspa5	heat shock protein family A (Hsp70) member 5
100689306	Xrcc5	X-ray repair cross complementing 5
100689307	Tmed2	transmembrane p24 trafficking protein 2
100689308	Hyou1	hypoxia up-regulated 1
100689309	Kif2c	kinesin family member 2C
100689310	Eef1e1	eukaryotic translation elongation factor 1 epsilon 1
100689311	Gstp1	glutathione S-transferase, pi 1
100689312	Gosr1	golgi SNAP receptor complex member 1
100689313	Sec22b	SEC22 homolog B, vesicle trafficking protein
100689314	Tst	thiosulfate sulfurtransferase
100689315	Slc3a2	solute carrier family 3 member 2
100689316	Lamp2	lysosomal associated membrane protein 2
100689317	Soat1	sterol O-acyltransferase 1
100689318	Akr1b8	aldo-keto reductase family 1, member B8
100689319	LOC100689319	beta major globin chain
100689320	Slc9a1	solute carrier family 9 member A1
100689321	Htr1b	5-hydroxytryptamine receptor 1B
100689322	Slc35a1	solute carrier family 35 member A1
100689323	Fxr1	FMR1 autosomal homolog 1
100689324	Rad51	RAD51 recombinase
100689325	Ugp2	UDP-glucose pyrophosphorylase 2
100689326	Sptlc1	serine palmitoyltransferase long chain base subunit 1
100689327	Serpinh1	serpin family H member 1
100689328	Ndufa1	NADH:ubiquinone oxidoreductase subunit A1
100689329	Tlr4	toll like receptor 4
100689330	Folr1	folate receptor 1 (adult)
100689331	Rad52	RAD52 homolog, DNA repair protein
100689332	Prdx1	peroxiredoxin 1
100689333	Orc2	origin recognition complex subunit 2
100689334	Ext1	exostosin glycosyltransferase 1
100689335	Pcna	proliferating cell nuclear antigen
100689336	Mmp14	matrix metallopeptidase 14
100689337	Glul	glutamate-ammonia ligase (glutamine synthetase)
100689338	Ddr2	discoidin domain receptor tyrosine kinase 2
100689339	Dbf4	DBF4 zinc finger
100689340	LOC100689340	NADH dehydrogenase subunit 1
100689341	Cdc7	cell division cycle 7
100689342	Ly96	lymphocyte antigen 96
100689343	Pdia3	protein disulfide isomerase family A member 3
100689344	Taldo1	transaldolase 1
100689345	Canx	calnexin
100689346	B4galt3	beta-1,4-galactosyltransferase 3
100689347	B4galt5	beta-1,4-galactosyltransferase 5
100689348	Tsta3	tissue specific transplantation antigen P35B
100689349	Prdx2	peroxiredoxin 2
100689350	Hdac5	histone deacetylase 5
100689351	Slc1a4	solute carrier family 1 member 4
100689352	Mad1l1	mitotic arrest deficient 1 like 1
100689353	C1d	C1D nuclear receptor corepressor
100689354	Prelid3b	PRELI domain containing 3B
100689357	Gjc1	gap junction protein gamma 1
100689359	Cbx1	chromobox 1
100689360	Slc25a32	solute carrier family 25 member 32
100689361	Ndufb11	NADH:ubiquinone oxidoreductase subunit B11
100689362	Cdc45	cell division cycle 45
100689363	Tubb6	tubulin beta 6 class V
100689364	LOC100689364	chromosome unknown open reading frame, human C7orf49
100689365	Dph2	DPH2 homolog
100689366	Birc5	baculoviral IAP repeat containing 5
100689367	Ercc3	ERCC excision repair 3, TFIIH core complex helicase subunit
100689368	Bak1	BCL2 antagonist/killer 1
100689369	Casp8	caspase 8
100689370	LOC100689370	caspase-9
100689371	Bcl2l1	BCL2 like 1
100689372	Rbm3	RNA binding motif protein 3
100689373	Neu1	neuraminidase 1
100689374	Xiap	X-linked inhibitor of apoptosis
100689375	Pls3	plastin 3
100689376	Rpl13	ribosomal protein L13
100689377	Ercc1	ERCC excision repair 1, endonuclease non-catalytic subunit
100689378	Pex13	peroxisomal biogenesis factor 13
100689379	S100b	S100 calcium binding protein B
100689380	Pigu	phosphatidylinositol glycan anchor biosynthesis class U
100689381	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1
100689382	Slc35c1	solute carrier family 35 member C1
100689383	Pdpn	podoplanin
100689384	Lhb	luteinizing hormone beta polypeptide
100689385	Pgap2	post-GPI attachment to proteins 2
100689386	Atf4	activating transcription factor 4
100689387	Gphr	golgi pH regulator
100689388	Ilk	integrin linked kinase
100689389	St6gal1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
100689390	Rnaseh1	ribonuclease H1
100689391	Cmah	cytidine monophospho-N-acetylneuraminic acid hydroxylase
100689392	Ctsz	cathepsin Z
100689393	Gmnn	geminin, DNA replication inhibitor
100689394	Slc35a3	solute carrier family 35 member A3
100689395	Tfrc	transferrin receptor
100689396	Slc10a2	solute carrier family 10 member 2
100689397	Hsp90aa1	heat shock protein 90 alpha family class A member 1
100689398	Impdh2	inosine monophosphate dehydrogenase 2
100689399	Ldlr	low density lipoprotein receptor
100689400	Fau	FAU, ubiquitin like and ribosomal protein S30 fusion
100689401	Cdkn1b	cyclin dependent kinase inhibitor 1B
100689402	Sdhc	succinate dehydrogenase complex subunit C
100689403	Map2k1	mitogen-activated protein kinase kinase 1
100689404	Pld1	phospholipase D1
100689405	Hspa9	heat shock protein family A (Hsp70) member 9
100689406	Lamp1	lysosomal associated membrane protein 1
100689407	Slc19a1	solute carrier family 19 member 1
100689408	Rps4x	ribosomal protein S4, X-linked
100689409	B2m	beta-2-microglobulin
100689410	Tsn	translin
100689411	LOC100689411	homologous to 40kD subunit of RNA-polymerase I and III
100689412	Cope	coatomer protein complex subunit epsilon
100689413	Stip1	stress induced phosphoprotein 1
100689414	Xrcc1	X-ray repair cross complementing 1
100689415	Sptlc2	serine palmitoyltransferase long chain base subunit 2
100689416	Layn	layilin
100689417	Mbtps1	membrane bound transcription factor peptidase, site 1
100689418	Fos	Fos proto-oncogene, AP-1 transcription factor subunit
100689419	B3gat3	beta-1,3-glucuronyltransferase 3
100689420	Dpm1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
100689421	Gbf1	golgi brefeldin A resistant guanine nucleotide exchange factor 1
100689422	Plaur	plasminogen activator, urokinase receptor
100689423	Hbegf	heparin binding EGF like growth factor
100689424	Npc1	NPC intracellular cholesterol transporter 1
100689425	Orc1	origin recognition complex subunit 1
100689426	LOC100689426	cytochrome c oxidase subunit II
100689427	Sat1	spermidine/spermine N1-acetyltransferase 1
100689428	Icam1	intercellular adhesion molecule 1
100689429	LOC100689429	ribosomal protein S28
100689430	B4galt1	beta-1,4-galactosyltransferase 1
100689431	LOC100689431	NADH dehydrogenase subunit 4
100689432	Ugcg	UDP-glucose ceramide glucosyltransferase
100689433	P4hb	prolyl 4-hydroxylase subunit beta
100689434	B4galt2	beta-1,4-galactosyltransferase 2
100689435	B4galt4	beta-1,4-galactosyltransferase 4
100689436	Gmds	GDP-mannose 4,6-dehydratase
100689437	Dld	dihydrolipoamide dehydrogenase
100689438	B4galt6	beta-1,4-galactosyltransferase 6
100689439	LOC100689439	caspase 1-like protein
100689440	St3gal4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
100689441	Tex101	testis expressed 101
100689442	Gnb1	G protein subunit beta 1
100689443	Cbx3	chromobox 3
100689444	LOC100689444	heterochromatin protein 1 alpha
100689445	Casp2	caspase 2
100689446	Gart	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
100689447	Ankrd1	ankyrin repeat domain 1
100689448	Ptdss2	phosphatidylserine synthase 2
100689449	Pgs1	phosphatidylglycerophosphate synthase 1
100689450	Gne	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
100689451	Dpm3	dolichyl-phosphate mannosyltransferase subunit 3
100689452	Cga	glycoprotein hormones, alpha polypeptide
100689453	Fshb	follicle stimulating hormone beta subunit
100689454	Pgap3	post-GPI attachment to proteins 3
100689455	Fis1	fission, mitochondrial 1
100689456	Edem1	ER degradation enhancing alpha-mannosidase like protein 1
100689457	Mppe1	metallophosphoesterase 1
100689458	Rnps1	RNA binding protein with serine rich domain 1
100689459	Cenpa	centromere protein A
100689460	Cdt1	chromatin licensing and DNA replication factor 1
100689461	Antxr2	anthrax toxin receptor 2
100689462	Hsph1	heat shock protein family H (Hsp110) member 1
100689463	Parp1	poly(ADP-ribose) polymerase 1
100689464	Slc1a3	solute carrier family 1 member 3
100689465	Cep135	centrosomal protein 135
100689466	Taf7	TATA-box binding protein associated factor 7
100689467	Pgk1	phosphoglycerate kinase 1
100689468	Gpi	glucose-6-phosphate isomerase
100689469	G6pd	glucose-6-phosphate dehydrogenase
100689470	Trf1	telomeric repeat binding factor 1
100689471	Htr2a	5-hydroxytryptamine receptor 2A
100689472	Hspa8	heat shock protein family A (Hsp70) member 8
100689473	Hspd1	heat shock protein family D (Hsp60) member 1
100689474	Rcan1	regulator of calcineurin 1
100689475	Elk3	ELK3, ETS transcription factor
100689476	Tcp1	t-complex 1
100689477	Actb	actin beta
100689478	Mt1	metallothionein 1
100689479	Mt2	metallothionein 2
100689480	Cstr1	selenocysteine tRNA
100689481	Cstr2	tRNA-Sec pseudogene 1
100689482	Cstr4	tRNA-Sec pseudogene 3
100689483	Cstr3	tRNA-Sec pseudogene 2
100689484	Ear30	Ear7 pseudogene
100736551	Adk	adenosine kinase
100736552	Scarb1	scavenger receptor class B member 1
100736553	Efemp2	EGF containing fibulin extracellular matrix protein 2
100736554	Pea15	proliferation and apoptosis adaptor protein 15
100736555	Smu1	SMU1, DNA replication regulator and spliceosomal factor
100736556	Pex7	peroxisomal biogenesis factor 7
100736557	Gapdh	glyceraldehyde-3-phosphate dehydrogenase
100750331	Gtf2a2	general transcription factor IIA subunit 2
100750332	Bmpr1a	bone morphogenetic protein receptor type 1A
100750333	Meltf	melanotransferrin
100750334	LOC100750334	keratin-associated protein 14-like
100750335	LOC100750335	NADP-dependent malic enzyme, mitochondrial pseudogene
100750336	LOC100750336	CMRF35-like molecule 7
100750337	LOC100750337	60S ribosomal protein L12-like
100750338	Slfn5	schlafen family member 5
100750339	LOC100750339	speckle-type POZ protein-like
100750340	LOC100750340	UDP-glucuronosyltransferase 2B1
100750341	LOC100750341	sorbitol dehydrogenase pseudogene
100750342	Ccdc96	coiled-coil domain containing 96
100750343	Lamtor1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1
100750344	Tvp23a	trans-golgi network vesicle protein 23 homolog A
100750345	LOC100750345	heterogeneous nuclear ribonucleoprotein A3 pseudogene
100750346	LOC100750346	alpha-enolase pseudogene
100750347	LOC100750347	interferon beta-like
100750348	Dmc1	DNA meiotic recombinase 1
100750349	LOC100750349	nuclear autoantigen Sp-100
100750350	Ntn1	netrin 1
100750351	LOC100750351	chromosome unknown open reading frame, human C11orf94
100750352	Pdhx	pyruvate dehydrogenase complex component X
100750353	Hilpda	hypoxia inducible lipid droplet associated
100750354	Rps6ka4	ribosomal protein S6 kinase A4
100750355	LOC100750355	guanylate-binding protein 1-like
100750356	Gpat2	glycerol-3-phosphate acyltransferase 2, mitochondrial
100750357	Gstm3	glutathione S-transferase mu 3
100750358	Xpo6	exportin 6
100750359	Ssuh2	ssu-2 homolog (C. elegans)
100750360	LOC100750360	eukaryotic translation initiation factor 3 subunit J-like
100750361	Amer3	APC membrane recruitment protein 3
100750362	Tctn1	tectonic family member 1
100750363	LOC100750363	protein B-Myc
100750364	LOC100750364	solute carrier family 7 member 13-like
100750366	LOC100750366	zinc finger protein 82 homolog
100750367	Apopt1	apoptogenic 1, mitochondrial
100750368	Smarca1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1
100750370	LOC100750370	oxytocin-neurophysin 1
100750372	Dis3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease
100750373	Sh3kbp1	SH3 domain containing kinase binding protein 1
100750374	Hoxb4	homeobox B4
100750375	Srpx2	sushi repeat containing protein, X-linked 2
100750376	LOC100750376	zinc finger protein 883
100750377	LOC100750377	olfactory receptor 10Z1
100750378	LOC100750378	transcription elongation factor B polypeptide 1 pseudogene
100750379	Socs4	suppressor of cytokine signaling 4
100750380	Pdzd8	PDZ domain containing 8
100750381	Aim2	absent in melanoma 2
100750382	Axin2	axin 2
100750383	LOC100750383	ubiquitin-60S ribosomal protein L40-like
100750384	Tp53rk	TP53 regulating kinase
100750385	Tmem54	transmembrane protein 54
100750386	Bod1	biorientation of chromosomes in cell division 1
100750387	Slc15a5	solute carrier family 15 member 5
100750388	Eif2s2	eukaryotic translation initiation factor 2 subunit beta
100750389	Lrrc40	leucine rich repeat containing 40
100750390	Ube2q1	ubiquitin conjugating enzyme E2 Q1
100750391	Slc25a23	solute carrier family 25 member 23
100750393	Itga1	integrin subunit alpha 1
100750394	Pno1	partner of NOB1 homolog
100750395	Madcam1	mucosal vascular addressin cell adhesion molecule 1
100750396	Pxk	PX domain containing serine/threonine kinase like
100750397	Etv3	ETS variant 3
100750398	Chchd3	coiled-coil-helix-coiled-coil-helix domain containing 3
100750399	Col27a1	collagen type XXVII alpha 1 chain
100750400	LOC100750400	olfactory receptor 4F3/4F16/4F29
100750401	Mtmr12	myotubularin related protein 12
100750402	LOC100750402	copine-5
100750403	Nhs	NHS actin remodeling regulator
100750404	Gstk1	glutathione S-transferase kappa 1
100750406	LOC100750406	zinc finger protein 883
100750407	LOC100750407	E3 ubiquitin-protein ligase TRIM32
100750408	Ppt1	palmitoyl-protein thioesterase 1
100750409	Myoc	myocilin
100750410	Mrgprg	MAS related GPR family member G
100750411	LOC100750411	metalloreductase STEAP4
100750413	Cfap65	cilia and flagella associated protein 65
100750414	Chd8	chromodomain helicase DNA binding protein 8
100750415	Cuedc2	CUE domain containing 2
100750416	Mbd5	methyl-CpG binding domain protein 5
100750417	N4bp1	NEDD4 binding protein 1
100750418	LOC100750418	actin-related protein 3B
100750419	Chrdl1	chordin like 1
100750420	Pde2a	phosphodiesterase 2A
100750421	LOC100750421	selenoprotein K pseudogene
100750422	Il17a	interleukin 17A
100750423	LOC100750423	uncharacterized protein CXorf21-like
100750424	LOC100750424	zinc finger protein 883
100750425	Psmd2	proteasome 26S subunit, non-ATPase 2
100750426	Btrc	beta-transducin repeat containing E3 ubiquitin protein ligase
100750427	Dtl	denticleless E3 ubiquitin protein ligase homolog
100750428	LOC100750428	eukaryotic translation initiation factor 1 pseudogene
100750429	Sypl2	synaptophysin like 2
100750430	Atp4b	ATPase H+/K+ transporting beta subunit
100750431	Rnf40	ring finger protein 40
100750433	LOC100750433	60S acidic ribosomal protein P0 pseudogene
100750434	Pcdhb14	protocadherin beta 14
100750435	LOC100750435	leukocyte immunoglobulin-like receptor subfamily A member 6
100750436	LOC100750436	uncharacterized LOC100750436
100750437	LOC100750437	proton myo-inositol cotransporter
100750438	LOC100750438	60S ribosomal protein L36a-like
100750439	Akr1e2	aldo-keto reductase family 1 member E2
100750440	Sfxn3	sideroflexin 3
100750441	Slc38a8	solute carrier family 38 member 8
100750442	LOC100750442	olfactory receptor 4C15-like
100750443	LOC100750443	sepiapterin reductase-like
100750444	Selenof	selenoprotein F
100750445	Pdcd6	programmed cell death 6
100750446	Tfb1m	transcription factor B1, mitochondrial
100750447	Tprn	taperin
100750449	Jakmip3	Janus kinase and microtubule interacting protein 3
100750451	Itm2c	integral membrane protein 2C
100750452	LOC100750452	dnaJ homolog subfamily C member 8 pseudogene
100750453	LOC100750453	secreted seminal-vesicle Ly-6 protein 1-like
100750454	Tlr3	toll like receptor 3
100750455	LOC100750455	uncharacterized LOC100750455
100750456	LOC100750456	glyceraldehyde-3-phosphate dehydrogenase-like
100750457	Cidec	cell death inducing DFFA like effector c
100750458	LOC100750458	vomeronasal type-2 receptor 116-like
100750459	LOC100750459	60S ribosomal protein L17 pseudogene
100750460	Gpbp1l1	GC-rich promoter binding protein 1 like 1
100750462	Serpinc1	serpin family C member 1
100750463	Zw10	zw10 kinetochore protein
100750465	Rnf44	ring finger protein 44
100750466	Bcl10	B-cell CLL/lymphoma 10
100750467	LOC100750467	serine/arginine-rich splicing factor 3 pseudogene
100750468	LOC100750468	PRAME family member 9/15-like
100750469	Il18	interleukin 18
100750470	Tmtc2	transmembrane and tetratricopeptide repeat containing 2
100750471	Klhl11	kelch like family member 11
100750472	Tmem221	transmembrane protein 221
100750474	LOC100750474	ruvB-like 2 pseudogene
100750475	LOC100750475	cytochrome c, somatic pseudogene
100750476	LOC100750476	protein-S-isoprenylcysteine O-methyltransferase-like
100750477	Hemk1	HemK methyltransferase family member 1
100750478	LOC100750478	60S ribosomal protein L6 pseudogene
100750479	Gpr19	G protein-coupled receptor 19
100750480	Myt1l	myelin transcription factor 1 like
100750481	Tmem204	transmembrane protein 204
100750482	LOC100750482	tektin-4
100750483	Pgam5	PGAM family member 5, mitochondrial serine/threonine protein phosphatase
100750484	LOC100750484	chromosome unknown open reading frame, human C2orf69
100750485	Kiaa1147	KIAA1147 ortholog
100750487	Mospd2	motile sperm domain containing 2
100750488	Ikbkb	inhibitor of nuclear factor kappa B kinase subunit beta
100750489	Oasl	2'-5'-oligoadenylate synthetase like
100750490	LOC100750490	olfactory receptor 4D1
